passengerCount,WIFIAPTag,slice10min
,E1-1A-5<E1-1-05>,2016-09-14-17-0
,E1-1A-5<E1-1-05>,2016-09-14-17-1
,E1-1A-5<E1-1-05>,2016-09-14-17-2
,E1-1A-5<E1-1-05>,2016-09-14-17-3
,E1-1A-5<E1-1-05>,2016-09-14-17-4
,E1-1A-5<E1-1-05>,2016-09-14-17-5
,E1-1A-6<E1-1-06>,2016-09-14-15-0
,E1-1A-6<E1-1-06>,2016-09-14-15-1
,E1-1A-6<E1-1-06>,2016-09-14-15-2
,E1-1A-6<E1-1-06>,2016-09-14-15-3
,E1-1A-6<E1-1-06>,2016-09-14-15-4
,E1-1A-6<E1-1-06>,2016-09-14-15-5
,E1-1A-6<E1-1-06>,2016-09-14-16-0
,E1-1A-6<E1-1-06>,2016-09-14-16-1
,E1-1A-6<E1-1-06>,2016-09-14-16-2
,E1-1A-6<E1-1-06>,2016-09-14-16-3
,E1-1A-6<E1-1-06>,2016-09-14-16-4
,E1-1A-6<E1-1-06>,2016-09-14-16-5
,E1-1A-6<E1-1-06>,2016-09-14-17-0
,E1-1A-6<E1-1-06>,2016-09-14-17-1
,E1-1A-6<E1-1-06>,2016-09-14-17-2
,E1-1A-6<E1-1-06>,2016-09-14-17-3
,E1-1A-6<E1-1-06>,2016-09-14-17-4
,E1-1A-6<E1-1-06>,2016-09-14-17-5
,E1-2A<E1-2-07>,2016-09-14-15-0
,E1-2A<E1-2-07>,2016-09-14-15-1
,E1-2A<E1-2-07>,2016-09-14-15-2
,E1-2A<E1-2-07>,2016-09-14-15-3
,E1-2A<E1-2-07>,2016-09-14-15-4
,E1-2A<E1-2-07>,2016-09-14-15-5
,E1-2A<E1-2-07>,2016-09-14-16-0
,E1-2A<E1-2-07>,2016-09-14-16-1
,E1-2A<E1-2-07>,2016-09-14-16-2
,E1-2A<E1-2-07>,2016-09-14-16-3
,E1-2A<E1-2-07>,2016-09-14-16-4
,E1-2A<E1-2-07>,2016-09-14-16-5
,E1-2A<E1-2-07>,2016-09-14-17-0
,E1-2A<E1-2-07>,2016-09-14-17-1
,E1-2A<E1-2-07>,2016-09-14-17-2
,E1-2A<E1-2-07>,2016-09-14-17-3
,E1-2A<E1-2-07>,2016-09-14-17-4
,E1-2A<E1-2-07>,2016-09-14-17-5
,E1-2A<E1-2-09>,2016-09-14-15-0
,E1-2A<E1-2-09>,2016-09-14-15-1
,E1-2A<E1-2-09>,2016-09-14-15-2
,E1-2A<E1-2-09>,2016-09-14-15-3
,E1-2A<E1-2-09>,2016-09-14-15-4
,E1-2A<E1-2-09>,2016-09-14-15-5
,E1-2A<E1-2-09>,2016-09-14-16-0
,E1-2A<E1-2-09>,2016-09-14-16-1
,E1-2A<E1-2-09>,2016-09-14-16-2
,E1-2A<E1-2-09>,2016-09-14-16-3
,E1-2A<E1-2-09>,2016-09-14-16-4
,E1-2A<E1-2-09>,2016-09-14-16-5
,E1-2A<E1-2-09>,2016-09-14-17-0
,E1-2A<E1-2-09>,2016-09-14-17-1
,E1-2A<E1-2-09>,2016-09-14-17-2
,E1-2A<E1-2-09>,2016-09-14-17-3
,E1-2A<E1-2-09>,2016-09-14-17-4
,E1-2A<E1-2-09>,2016-09-14-17-5
,E1-2A<E1-2-10>,2016-09-14-15-0
,E1-2A<E1-2-10>,2016-09-14-15-1
,E1-2A<E1-2-10>,2016-09-14-15-2
,E1-2A<E1-2-10>,2016-09-14-15-3
,E1-2A<E1-2-10>,2016-09-14-15-4
,E1-2A<E1-2-10>,2016-09-14-15-5
,E1-2A<E1-2-10>,2016-09-14-16-0
,E1-2A<E1-2-10>,2016-09-14-16-1
,E1-2A<E1-2-10>,2016-09-14-16-2
,E1-2A<E1-2-10>,2016-09-14-16-3
,E1-2A<E1-2-10>,2016-09-14-16-4
,E1-2A<E1-2-10>,2016-09-14-16-5
,E1-2A<E1-2-10>,2016-09-14-17-0
,E1-2A<E1-2-10>,2016-09-14-17-1
,E1-2A<E1-2-10>,2016-09-14-17-2
,E1-2A<E1-2-10>,2016-09-14-17-3
,E1-2A<E1-2-10>,2016-09-14-17-4
,E1-2A<E1-2-10>,2016-09-14-17-5
,E1-2A<E1-2-11>,2016-09-14-15-0
,E1-2A<E1-2-11>,2016-09-14-15-1
,E1-2A<E1-2-11>,2016-09-14-15-2
,E1-2A<E1-2-11>,2016-09-14-15-3
,E1-2A<E1-2-11>,2016-09-14-15-4
,E1-2A<E1-2-11>,2016-09-14-15-5
,E1-2A<E1-2-11>,2016-09-14-16-0
,E1-2A<E1-2-11>,2016-09-14-16-1
,E1-2A<E1-2-11>,2016-09-14-16-2
,E1-2A<E1-2-11>,2016-09-14-16-3
,E1-2A<E1-2-11>,2016-09-14-16-4
,E1-2A<E1-2-11>,2016-09-14-16-5
,E1-2A<E1-2-11>,2016-09-14-17-0
,E1-2A<E1-2-11>,2016-09-14-17-1
,E1-2A<E1-2-11>,2016-09-14-17-2
,E1-2A<E1-2-11>,2016-09-14-17-3
,E1-2A<E1-2-11>,2016-09-14-17-4
,E1-2A<E1-2-11>,2016-09-14-17-5
,E1-2A<E1-2A-02>,2016-09-14-15-0
,E1-2A<E1-2A-02>,2016-09-14-15-1
,E1-2A<E1-2A-02>,2016-09-14-15-2
,E1-2A<E1-2A-02>,2016-09-14-15-3
,E1-2A<E1-2A-02>,2016-09-14-15-4
,E1-2A<E1-2A-02>,2016-09-14-15-5
,E1-2A<E1-2A-02>,2016-09-14-16-0
,E1-2A<E1-2A-02>,2016-09-14-16-1
,E1-2A<E1-2A-02>,2016-09-14-16-2
,E1-2A<E1-2A-02>,2016-09-14-16-3
,E1-2A<E1-2A-02>,2016-09-14-16-4
,E1-2A<E1-2A-02>,2016-09-14-16-5
,E1-2A<E1-2A-02>,2016-09-14-17-0
,E1-2A<E1-2A-02>,2016-09-14-17-1
,E1-2A<E1-2A-02>,2016-09-14-17-2
,E1-2A<E1-2A-02>,2016-09-14-17-3
,E1-2A<E1-2A-02>,2016-09-14-17-4
,E1-2A<E1-2A-02>,2016-09-14-17-5
,E1-2A<E1-2A-06>,2016-09-14-15-0
,E1-2A<E1-2A-06>,2016-09-14-15-1
,E1-2A<E1-2A-06>,2016-09-14-15-2
,E1-2A<E1-2A-06>,2016-09-14-15-3
,E1-2A<E1-2A-06>,2016-09-14-15-4
,E1-2A<E1-2A-06>,2016-09-14-15-5
,E1-2A<E1-2A-06>,2016-09-14-16-0
,E1-2A<E1-2A-06>,2016-09-14-16-1
,E1-2A<E1-2A-06>,2016-09-14-16-2
,E1-2A<E1-2A-06>,2016-09-14-16-3
,E1-2A<E1-2A-06>,2016-09-14-16-4
,E1-2A<E1-2A-06>,2016-09-14-16-5
,E1-2A<E1-2A-06>,2016-09-14-17-0
,E1-2A<E1-2A-06>,2016-09-14-17-1
,E1-2A<E1-2A-06>,2016-09-14-17-2
,E1-2A<E1-2A-06>,2016-09-14-17-3
,E1-2A<E1-2A-06>,2016-09-14-17-4
,E1-2A<E1-2A-06>,2016-09-14-17-5
,E1-2B<E1-2-04>,2016-09-14-15-0
,E1-2B<E1-2-04>,2016-09-14-15-1
,E1-2B<E1-2-04>,2016-09-14-15-2
,E1-2B<E1-2-04>,2016-09-14-15-3
,E1-2B<E1-2-04>,2016-09-14-15-4
,E1-2B<E1-2-04>,2016-09-14-15-5
,E1-2B<E1-2-04>,2016-09-14-16-0
,E1-2B<E1-2-04>,2016-09-14-16-1
,E1-2B<E1-2-04>,2016-09-14-16-2
,E1-2B<E1-2-04>,2016-09-14-16-3
,E1-2B<E1-2-04>,2016-09-14-16-4
,E1-2B<E1-2-04>,2016-09-14-16-5
,E1-2B<E1-2-04>,2016-09-14-17-0
,E1-2B<E1-2-04>,2016-09-14-17-1
,E1-2B<E1-2-04>,2016-09-14-17-2
,E1-2B<E1-2-04>,2016-09-14-17-3
,E1-2B<E1-2-04>,2016-09-14-17-4
,E1-2B<E1-2-04>,2016-09-14-17-5
,E1-2B<E1-2B-02>,2016-09-14-15-0
,E1-2B<E1-2B-02>,2016-09-14-15-1
,E1-2B<E1-2B-02>,2016-09-14-15-2
,E1-2B<E1-2B-02>,2016-09-14-15-3
,E1-2B<E1-2B-02>,2016-09-14-15-4
,E1-2B<E1-2B-02>,2016-09-14-15-5
,E1-2B<E1-2B-02>,2016-09-14-16-0
,E1-2B<E1-2B-02>,2016-09-14-16-1
,E1-2B<E1-2B-02>,2016-09-14-16-2
,E1-2B<E1-2B-02>,2016-09-14-16-3
,E1-2B<E1-2B-02>,2016-09-14-16-4
,E1-2B<E1-2B-02>,2016-09-14-16-5
,E1-2B<E1-2B-02>,2016-09-14-17-0
,E1-2B<E1-2B-02>,2016-09-14-17-1
,E1-2B<E1-2B-02>,2016-09-14-17-2
,E1-2B<E1-2B-02>,2016-09-14-17-3
,E1-2B<E1-2B-02>,2016-09-14-17-4
,E1-2B<E1-2B-02>,2016-09-14-17-5
,E1-2B<E1-2B-03>,2016-09-14-15-0
,E1-2B<E1-2B-03>,2016-09-14-15-1
,E1-2B<E1-2B-03>,2016-09-14-15-2
,E1-2B<E1-2B-03>,2016-09-14-15-3
,E1-2B<E1-2B-03>,2016-09-14-15-4
,E1-2B<E1-2B-03>,2016-09-14-15-5
,E1-2B<E1-2B-03>,2016-09-14-16-0
,E1-2B<E1-2B-03>,2016-09-14-16-1
,E1-2B<E1-2B-03>,2016-09-14-16-2
,E1-2B<E1-2B-03>,2016-09-14-16-3
,E1-2B<E1-2B-03>,2016-09-14-16-4
,E1-2B<E1-2B-03>,2016-09-14-16-5
,E1-2B<E1-2B-03>,2016-09-14-17-0
,E1-2B<E1-2B-03>,2016-09-14-17-1
,E1-2B<E1-2B-03>,2016-09-14-17-2
,E1-2B<E1-2B-03>,2016-09-14-17-3
,E1-2B<E1-2B-03>,2016-09-14-17-4
,E1-2B<E1-2B-03>,2016-09-14-17-5
,E1-2C<E1-2-02>,2016-09-14-15-0
,E1-2C<E1-2-02>,2016-09-14-15-1
,E1-2C<E1-2-02>,2016-09-14-15-2
,E1-2C<E1-2-02>,2016-09-14-15-3
,E1-2C<E1-2-02>,2016-09-14-15-4
,E1-2C<E1-2-02>,2016-09-14-15-5
,E1-2C<E1-2-02>,2016-09-14-16-0
,E1-2C<E1-2-02>,2016-09-14-16-1
,E1-2C<E1-2-02>,2016-09-14-16-2
,E1-2C<E1-2-02>,2016-09-14-16-3
,E1-2C<E1-2-02>,2016-09-14-16-4
,E1-2C<E1-2-02>,2016-09-14-16-5
,E1-2C<E1-2-02>,2016-09-14-17-0
,E1-2C<E1-2-02>,2016-09-14-17-1
,E1-2C<E1-2-02>,2016-09-14-17-2
,E1-2C<E1-2-02>,2016-09-14-17-3
,E1-2C<E1-2-02>,2016-09-14-17-4
,E1-2C<E1-2-02>,2016-09-14-17-5
,E1-2C<E1-2-03>,2016-09-14-15-0
,E1-2C<E1-2-03>,2016-09-14-15-1
,E1-2C<E1-2-03>,2016-09-14-15-2
,E1-2C<E1-2-03>,2016-09-14-15-3
,E1-2C<E1-2-03>,2016-09-14-15-4
,E1-2C<E1-2-03>,2016-09-14-15-5
,E1-2C<E1-2-03>,2016-09-14-16-0
,E1-2C<E1-2-03>,2016-09-14-16-1
,E1-2C<E1-2-03>,2016-09-14-16-2
,E1-2C<E1-2-03>,2016-09-14-16-3
,E1-2C<E1-2-03>,2016-09-14-16-4
,E1-2C<E1-2-03>,2016-09-14-16-5
,E1-2C<E1-2-03>,2016-09-14-17-0
,E1-2C<E1-2-03>,2016-09-14-17-1
,E1-2C<E1-2-03>,2016-09-14-17-2
,E1-2C<E1-2-03>,2016-09-14-17-3
,E1-2C<E1-2-03>,2016-09-14-17-4
,E1-2C<E1-2-03>,2016-09-14-17-5
,E1-2C<E1-2C-01>,2016-09-14-15-0
,E1-2C<E1-2C-01>,2016-09-14-15-1
,E1-2C<E1-2C-01>,2016-09-14-15-2
,E1-2C<E1-2C-01>,2016-09-14-15-3
,E1-2C<E1-2C-01>,2016-09-14-15-4
,E1-2C<E1-2C-01>,2016-09-14-15-5
,E1-2C<E1-2C-01>,2016-09-14-16-0
,E1-2C<E1-2C-01>,2016-09-14-16-1
,E1-2C<E1-2C-01>,2016-09-14-16-2
,E1-2C<E1-2C-01>,2016-09-14-16-3
,E1-2C<E1-2C-01>,2016-09-14-16-4
,E1-2C<E1-2C-01>,2016-09-14-16-5
,E1-2C<E1-2C-01>,2016-09-14-17-0
,E1-2C<E1-2C-01>,2016-09-14-17-1
,E1-2C<E1-2C-01>,2016-09-14-17-2
,E1-2C<E1-2C-01>,2016-09-14-17-3
,E1-2C<E1-2C-01>,2016-09-14-17-4
,E1-2C<E1-2C-01>,2016-09-14-17-5
,E1-3A<E1-3-01>,2016-09-14-15-0
,E1-3A<E1-3-01>,2016-09-14-15-1
,E1-3A<E1-3-01>,2016-09-14-15-2
,E1-3A<E1-3-01>,2016-09-14-15-3
,E1-3A<E1-3-01>,2016-09-14-15-4
,E1-3A<E1-3-01>,2016-09-14-15-5
,E1-3A<E1-3-01>,2016-09-14-16-0
,E1-3A<E1-3-01>,2016-09-14-16-1
,E1-3A<E1-3-01>,2016-09-14-16-2
,E1-3A<E1-3-01>,2016-09-14-16-3
,E1-3A<E1-3-01>,2016-09-14-16-4
,E1-3A<E1-3-01>,2016-09-14-16-5
,E1-3A<E1-3-01>,2016-09-14-17-0
,E1-3A<E1-3-01>,2016-09-14-17-1
,E1-3A<E1-3-01>,2016-09-14-17-2
,E1-3A<E1-3-01>,2016-09-14-17-3
,E1-3A<E1-3-01>,2016-09-14-17-4
,E1-3A<E1-3-01>,2016-09-14-17-5
,E1-3A<E1-3-02>,2016-09-14-15-0
,E1-3A<E1-3-02>,2016-09-14-15-1
,E1-3A<E1-3-02>,2016-09-14-15-2
,E1-3A<E1-3-02>,2016-09-14-15-3
,E1-3A<E1-3-02>,2016-09-14-15-4
,E1-3A<E1-3-02>,2016-09-14-15-5
,E1-3A<E1-3-02>,2016-09-14-16-0
,E1-3A<E1-3-02>,2016-09-14-16-1
,E1-3A<E1-3-02>,2016-09-14-16-2
,E1-3A<E1-3-02>,2016-09-14-16-3
,E1-3A<E1-3-02>,2016-09-14-16-4
,E1-3A<E1-3-02>,2016-09-14-16-5
,E1-3A<E1-3-02>,2016-09-14-17-0
,E1-3A<E1-3-02>,2016-09-14-17-1
,E1-3A<E1-3-02>,2016-09-14-17-2
,E1-3A<E1-3-02>,2016-09-14-17-3
,E1-3A<E1-3-02>,2016-09-14-17-4
,E1-3A<E1-3-02>,2016-09-14-17-5
,E1-3A<E1-3-03>,2016-09-14-15-0
,E1-3A<E1-3-03>,2016-09-14-15-1
,E1-3A<E1-3-03>,2016-09-14-15-2
,E1-3A<E1-3-03>,2016-09-14-15-3
,E1-3A<E1-3-03>,2016-09-14-15-4
,E1-3A<E1-3-03>,2016-09-14-15-5
,E1-3A<E1-3-03>,2016-09-14-16-0
,E1-3A<E1-3-03>,2016-09-14-16-1
,E1-3A<E1-3-03>,2016-09-14-16-2
,E1-3A<E1-3-03>,2016-09-14-16-3
,E1-3A<E1-3-03>,2016-09-14-16-4
,E1-3A<E1-3-03>,2016-09-14-16-5
,E1-3A<E1-3-03>,2016-09-14-17-0
,E1-3A<E1-3-03>,2016-09-14-17-1
,E1-3A<E1-3-03>,2016-09-14-17-2
,E1-3A<E1-3-03>,2016-09-14-17-3
,E1-3A<E1-3-03>,2016-09-14-17-4
,E1-3A<E1-3-03>,2016-09-14-17-5
,E1-3A<E1-3-04>,2016-09-14-15-0
,E1-3A<E1-3-04>,2016-09-14-15-1
,E1-3A<E1-3-04>,2016-09-14-15-2
,E1-3A<E1-3-04>,2016-09-14-15-3
,E1-3A<E1-3-04>,2016-09-14-15-4
,E1-3A<E1-3-04>,2016-09-14-15-5
,E1-3A<E1-3-04>,2016-09-14-16-0
,E1-3A<E1-3-04>,2016-09-14-16-1
,E1-3A<E1-3-04>,2016-09-14-16-2
,E1-3A<E1-3-04>,2016-09-14-16-3
,E1-3A<E1-3-04>,2016-09-14-16-4
,E1-3A<E1-3-04>,2016-09-14-16-5
,E1-3A<E1-3-04>,2016-09-14-17-0
,E1-3A<E1-3-04>,2016-09-14-17-1
,E1-3A<E1-3-04>,2016-09-14-17-2
,E1-3A<E1-3-04>,2016-09-14-17-3
,E1-3A<E1-3-04>,2016-09-14-17-4
,E1-3A<E1-3-04>,2016-09-14-17-5
,E1-3A<E1-3-05>,2016-09-14-15-0
,E1-3A<E1-3-05>,2016-09-14-15-1
,E1-3A<E1-3-05>,2016-09-14-15-2
,E1-3A<E1-3-05>,2016-09-14-15-3
,E1-3A<E1-3-05>,2016-09-14-15-4
,E1-3A<E1-3-05>,2016-09-14-15-5
,E1-3A<E1-3-05>,2016-09-14-16-0
,E1-3A<E1-3-05>,2016-09-14-16-1
,E1-3A<E1-3-05>,2016-09-14-16-2
,E1-3A<E1-3-05>,2016-09-14-16-3
,E1-3A<E1-3-05>,2016-09-14-16-4
,E1-3A<E1-3-05>,2016-09-14-16-5
,E1-3A<E1-3-05>,2016-09-14-17-0
,E1-3A<E1-3-05>,2016-09-14-17-1
,E1-3A<E1-3-05>,2016-09-14-17-2
,E1-3A<E1-3-05>,2016-09-14-17-3
,E1-3A<E1-3-05>,2016-09-14-17-4
,E1-3A<E1-3-05>,2016-09-14-17-5
,E1-3A<E1-3-06>,2016-09-14-15-0
,E1-3A<E1-3-06>,2016-09-14-15-1
,E1-3A<E1-3-06>,2016-09-14-15-2
,E1-3A<E1-3-06>,2016-09-14-15-3
,E1-3A<E1-3-06>,2016-09-14-15-4
,E1-3A<E1-3-06>,2016-09-14-15-5
,E1-3A<E1-3-06>,2016-09-14-16-0
,E1-3A<E1-3-06>,2016-09-14-16-1
,E1-3A<E1-3-06>,2016-09-14-16-2
,E1-3A<E1-3-06>,2016-09-14-16-3
,E1-3A<E1-3-06>,2016-09-14-16-4
,E1-3A<E1-3-06>,2016-09-14-16-5
,E1-3A<E1-3-06>,2016-09-14-17-0
,E1-3A<E1-3-06>,2016-09-14-17-1
,E1-3A<E1-3-06>,2016-09-14-17-2
,E1-3A<E1-3-06>,2016-09-14-17-3
,E1-3A<E1-3-06>,2016-09-14-17-4
,E1-3A<E1-3-06>,2016-09-14-17-5
,E1-3A<E1-3-07>,2016-09-14-15-0
,E1-3A<E1-3-07>,2016-09-14-15-1
,E1-3A<E1-3-07>,2016-09-14-15-2
,E1-3A<E1-3-07>,2016-09-14-15-3
,E1-3A<E1-3-07>,2016-09-14-15-4
,E1-3A<E1-3-07>,2016-09-14-15-5
,E1-3A<E1-3-07>,2016-09-14-16-0
,E1-3A<E1-3-07>,2016-09-14-16-1
,E1-3A<E1-3-07>,2016-09-14-16-2
,E1-3A<E1-3-07>,2016-09-14-16-3
,E1-3A<E1-3-07>,2016-09-14-16-4
,E1-3A<E1-3-07>,2016-09-14-16-5
,E1-3A<E1-3-07>,2016-09-14-17-0
,E1-3A<E1-3-07>,2016-09-14-17-1
,E1-3A<E1-3-07>,2016-09-14-17-2
,E1-3A<E1-3-07>,2016-09-14-17-3
,E1-3A<E1-3-07>,2016-09-14-17-4
,E1-3A<E1-3-07>,2016-09-14-17-5
,E1-3A<E1-3-08>,2016-09-14-15-0
,E1-3A<E1-3-08>,2016-09-14-15-1
,E1-3A<E1-3-08>,2016-09-14-15-2
,E1-3A<E1-3-08>,2016-09-14-15-3
,E1-3A<E1-3-08>,2016-09-14-15-4
,E1-3A<E1-3-08>,2016-09-14-15-5
,E1-3A<E1-3-08>,2016-09-14-16-0
,E1-3A<E1-3-08>,2016-09-14-16-1
,E1-3A<E1-3-08>,2016-09-14-16-2
,E1-3A<E1-3-08>,2016-09-14-16-3
,E1-3A<E1-3-08>,2016-09-14-16-4
,E1-3A<E1-3-08>,2016-09-14-16-5
,E1-3A<E1-3-08>,2016-09-14-17-0
,E1-3A<E1-3-08>,2016-09-14-17-1
,E1-3A<E1-3-08>,2016-09-14-17-2
,E1-3A<E1-3-08>,2016-09-14-17-3
,E1-3A<E1-3-08>,2016-09-14-17-4
,E1-3A<E1-3-08>,2016-09-14-17-5
,E1-3A<E1-3-09>,2016-09-14-15-0
,E1-3A<E1-3-09>,2016-09-14-15-1
,E1-3A<E1-3-09>,2016-09-14-15-2
,E1-3A<E1-3-09>,2016-09-14-15-3
,E1-3A<E1-3-09>,2016-09-14-15-4
,E1-3A<E1-3-09>,2016-09-14-15-5
,E1-3A<E1-3-09>,2016-09-14-16-0
,E1-3A<E1-3-09>,2016-09-14-16-1
,E1-3A<E1-3-09>,2016-09-14-16-2
,E1-3A<E1-3-09>,2016-09-14-16-3
,E1-3A<E1-3-09>,2016-09-14-16-4
,E1-3A<E1-3-09>,2016-09-14-16-5
,E1-3A<E1-3-09>,2016-09-14-17-0
,E1-3A<E1-3-09>,2016-09-14-17-1
,E1-3A<E1-3-09>,2016-09-14-17-2
,E1-3A<E1-3-09>,2016-09-14-17-3
,E1-3A<E1-3-09>,2016-09-14-17-4
,E1-3A<E1-3-09>,2016-09-14-17-5
,E1-3B<E1-3-24>,2016-09-14-15-0
,E1-3B<E1-3-24>,2016-09-14-15-1
,E1-3B<E1-3-24>,2016-09-14-15-2
,E1-3B<E1-3-24>,2016-09-14-15-3
,E1-3B<E1-3-24>,2016-09-14-15-4
,E1-3B<E1-3-24>,2016-09-14-15-5
,E1-3B<E1-3-24>,2016-09-14-16-0
,E1-3B<E1-3-24>,2016-09-14-16-1
,E1-3B<E1-3-24>,2016-09-14-16-2
,E1-3B<E1-3-24>,2016-09-14-16-3
,E1-3B<E1-3-24>,2016-09-14-16-4
,E1-3B<E1-3-24>,2016-09-14-16-5
,E1-3B<E1-3-24>,2016-09-14-17-0
,E1-3B<E1-3-24>,2016-09-14-17-1
,E1-3B<E1-3-24>,2016-09-14-17-2
,E1-3B<E1-3-24>,2016-09-14-17-3
,E1-3B<E1-3-24>,2016-09-14-17-4
,E1-3B<E1-3-24>,2016-09-14-17-5
,E1-3B<E1-3-25>,2016-09-14-15-0
,E1-3B<E1-3-25>,2016-09-14-15-1
,E1-3B<E1-3-25>,2016-09-14-15-2
,E1-3B<E1-3-25>,2016-09-14-15-3
,E1-3B<E1-3-25>,2016-09-14-15-4
,E1-3B<E1-3-25>,2016-09-14-15-5
,E1-3B<E1-3-25>,2016-09-14-16-0
,E1-3B<E1-3-25>,2016-09-14-16-1
,E1-3B<E1-3-25>,2016-09-14-16-2
,E1-3B<E1-3-25>,2016-09-14-16-3
,E1-3B<E1-3-25>,2016-09-14-16-4
,E1-3B<E1-3-25>,2016-09-14-16-5
,E1-3B<E1-3-25>,2016-09-14-17-0
,E1-3B<E1-3-25>,2016-09-14-17-1
,E1-3B<E1-3-25>,2016-09-14-17-2
,E1-3B<E1-3-25>,2016-09-14-17-3
,E1-3B<E1-3-25>,2016-09-14-17-4
,E1-3B<E1-3-25>,2016-09-14-17-5
,E1-3B<E1-3-26>,2016-09-14-15-0
,E1-3B<E1-3-26>,2016-09-14-15-1
,E1-3B<E1-3-26>,2016-09-14-15-2
